time                                       H2(g) --> 2H*                               H2O(g) --> H2O*                             CO(g) --> CO*                               CO2(g) --> CO2*                             CH4(g) --> H* + CH3*                        CH3COOH(g) --> CH3COOH*                     OH* --> H* + O*                            H* + OH* --> H2O*                          O* + C* --> CO*                             O* + CO* --> CO2*                           COOH* --> OH* + CO*                        COOH* --> H* + CO2*                        CCO* --> C* + CO*                          CCOO* --> C* + CO2*                        CCOO* --> O* + CCO*                         CCOOH* --> C* + COOH*                      CCOOH* --> OH* + CCO*                      CCOOH* --> H* + CCOO*                      CH* --> H* + C*                            CHCO* --> H* + CCO*                        CHCO* --> CO* + CH*                        CHCOO* --> H* + CCOO*                      CHCOO* --> CO2* + CH*                      CHCOO* --> O* + CHCO*                      CHCOOH* --> COOH* + CH*                    CHCOOH* --> H* + CCOOH*                    CHCOOH* --> OH* + CHCO*                    CHCOOH* --> H* + CHCOO*                     CH2* --> H* + CH*                          CH2CO* --> H* + CHCO*                      CH2CO* --> CO* + CH2*                      CH2COO* --> H* + CHCOO*                    CH2COO* --> CO2* + CH2*                    CH2COO* --> O* + CH2CO*                    CH2COOH* --> COOH* + CH2*                  CH2COOH* --> H* + CHCOOH*                  CH2COOH* --> OH* + CH2CO*                   CH2COOH* --> H* + CH2COO*                   CH3* --> H* + CH2*                          CH3CO* --> H* + CH2CO*                     CH3CO* --> CO* + CH3*                      CH3COO* --> H* + CH2COO*                   CH3COO* --> CO2* + CH3*                    CH3COO* --> O* + CH3CO*                    CH3COOH* --> H* + CH2COOH*                 CH3COOH* --> COOH* + CH3*                  CH3COOH* --> OH* + CH3CO*                   CH3COOH* --> H* + CH3COO*                
_________________________________________  __________________________________________  __________________________________________  __________________________________________  __________________________________________  __________________________________________  __________________________________________  _________________________________________  _________________________________________  __________________________________________  __________________________________________  _________________________________________  _________________________________________  _________________________________________  _________________________________________  __________________________________________  _________________________________________  _________________________________________  _________________________________________  _________________________________________  _________________________________________  _________________________________________  _________________________________________  _________________________________________  _________________________________________  _________________________________________  _________________________________________  _________________________________________  __________________________________________  _________________________________________  _________________________________________  _________________________________________  _________________________________________  _________________________________________  _________________________________________  _________________________________________  _________________________________________  __________________________________________  __________________________________________  __________________________________________  _________________________________________  _________________________________________  _________________________________________  _________________________________________  _________________________________________  _________________________________________  _________________________________________  __________________________________________  _________________________________________
0.0000000000                                0.0000000000                                0.0000000000                                0.0000000000                                0.0000000000                                0.0000000000                                1.32818539871354932704061422240755496e+05  0.0000000000                               0.0000000000                                0.0000000000                                0.0000000000                               0.0000000000                               0.0000000000                               0.0000000000                               0.0000000000                                0.0000000000                               0.0000000000                               0.0000000000                               0.0000000000                               0.0000000000                               0.0000000000                               0.0000000000                               0.0000000000                               0.0000000000                               0.0000000000                               0.0000000000                               0.0000000000                               0.0000000000                                0.0000000000                               0.0000000000                               0.0000000000                               0.0000000000                               0.0000000000                               0.0000000000                               0.0000000000                               0.0000000000                               0.0000000000                                0.0000000000                                0.0000000000                                0.0000000000                               0.0000000000                               0.0000000000                               0.0000000000                               0.0000000000                               0.0000000000                               0.0000000000                               0.0000000000                                0.0000000000                               0.0000000000                             
5.820766091346741e-11                      -6.22494775406636110779417244211818952e-30  -1.24445938009875904559101092513794484e-44  -7.21162819957258029146411648828811847e-47  -9.36989612011071762955540311798649656e-34  -3.51742608372755289511353789870871127e-25   1.9961861426                               6.5543409132122667270820357786993293e-30   1.24445938009875961964239684013907343e-44  -7.91949653792666939602026651136603958e-89  -6.35981864299070566142709619905181531e-76  4.90127617005546451933893664249799852e-35  2.65357263826759319738662422145463616e-34  1.03476672773581862074200886682253084e-60  3.84115272810646473148255254984701319e-44   4.61972464962410846746733727143284017e-56  6.31020077641697826287314791963417329e-55  7.13053714177187224962925024782329391e-49  1.26117437637383426425200189113414022e-43  1.18799968333512132291682566191776337e-51  1.71531228477492691298891953168829385e-50  1.47394386554655515211640798197908442e-42  7.14697956780877105219031799655540547e-42  1.63588676129416895731300725535879155e-40  5.99476733695649235252019795672295278e-51  8.24535144133230452505985389260532885e-36  8.23270385825580317272088717416554468e-29  2.22379837392909873214246543805377394e-46   2.37183736717132411498439766931438034e-43  9.50992928464234826956918976201033258e-32  2.9628268221859608427464830507990611e-37   5.32353533662386983907264395784008834e-42  2.80038276574952599556563746276958959e-34  3.79481796083088767575536147641050763e-42  3.83088301791657747598923374018853324e-36  1.01918570048785769713612470846846198e-30  2.21184281888527605902084563875244684e-23   2.15209379007248890614119828177499607e-28   1.21264242747187866982821148466565829e-29  -4.33307361823486791084113944875845807e-35  3.49388108377362720073516386067204411e-30  1.10174758599298838024034373472691668e-32  7.11245245560473440775555988355873913e-24  6.71632180762406825733512255146165891e-34  9.22377801286109741201940762508891658e-29  9.68154167052291147015814734489184007e-14  1.77832525476800216819611566497606316e-28   1.56540954264477625898943825932726053e-17  6.87555914437756863798903445699159502e-07
9.99999999999999999999999999999998139e-11  -1.837282762377982852763052406329316e-29    -3.67300073490398713990264306844061231e-44  -2.12850857035509146083421905681310345e-46  -1.61067240171875793672836526876211936e-33  -1.97926461383747585604679169806018291e-23   1.9694885468305522019849190407196552e-01   1.12602795256677652043077003998038506e-29  3.67300073490398812611910981804567943e-44  -2.33743556758503309955635582630544927e-88  -1.09324417655128983613519834600675324e-75  8.43760354950449600594659448814214882e-35  4.56815595258760613713330753970896929e-34  1.62744254780331605152405857789517806e-60  6.61675644581680161944954912403529265e-44   7.95792175344396956820977867862661378e-56  2.77013020138002359044785014742130127e-54  3.13025163356212905854265377776374561e-48  5.53645969912149248780545269686089527e-43  5.30464228825202932210346629921612839e-51  7.53009961278263969581402837298901002e-50  6.4705093234214197943688780913702195e-42   3.13746690721177704511279529922573583e-41  7.18141213195033730769126655833082394e-40  2.63165494705641441594698966209647349e-50  2.43359853787739823452461429247499148e-35  2.42986562971676391018105183870301105e-28  6.56349521282931870550861448156793224e-46   7.0004292599302980772373543141816558e-43   2.70467083096589681670181890070630434e-31  8.74473311587944961198893056124799531e-37  1.57123242584197695117351859130487425e-41  8.26528219517878282627213712953741607e-34  1.12003407924149415373159200270618466e-41  1.13067861961805495258262954160458615e-35  1.75094887907442103244108911634836146e-30  3.79991958537306965070680941248380201e-23   3.69727146641353433179400845726349046e-28   2.08330522895249940530156939733043541e-29  -4.76186355374248831754936304779768012e-33  6.00244603592711551975130922142452086e-30  1.89278921393432319438643729826772747e-32  1.22191084997281771180919909283284867e-23  1.15385607705227577115373006739185303e-33  1.58463406286452478416878764739859491e-28  9.6816728242955846700234078280882594e-14   1.77834934535957736879580534907221639e-28   1.5654307489127740087481162263045873e-17   6.87565228610558168607321609864746943e-07
1.03241462912410497665405273437499909e-10  -1.95832300434996367337171107863598342e-29  -3.91497813044905550464651969202733034e-44  -2.26873638623071398362911435016304749e-46  -1.66295673649318882979435980349414536e-33  -2.17330344514978316714424161030768786e-23   9.86801653612371735898275686334234412e-02  1.16252776524533116608623488883418475e-29  3.91497813044905652283095555890987221e-44  -2.49142765808320494412556834029463521e-88  -1.12873217799466798856643817134632502e-75  8.71248847233076433531986078173858709e-35  4.71697986794674211394805508434354049e-34  3.14514744365129789336656341062256687e-60  1.22166095744154890383858499286695698e-43   1.46928217596759033721480204713950191e-55  3.11955430700830987613519599012478309e-54  3.52510144130908164934667615808406066e-48  6.23482848978296142998333288721767565e-43  5.91012006518178435649142464961174606e-51  8.4799420064681950508167819003913694e-50   7.28669561313401395117768392307172187e-42  3.53322812179160765789331008382611754e-41  8.08727806513551096205278195373060967e-40  2.96361285737191765161902729134381517e-50  2.59392353927286510580845454856062708e-35  2.58994470784397276180594172677435789e-28  6.99589700909018327149906760366308781e-46   7.46161618677900844068748248833599345e-43  2.86830594859564976572630372022797933e-31  9.32083639699734005497811897498295692e-37  1.67474526539138054682195166299278182e-41  8.8097992272514095605705903853010082e-34   1.19382195704735092278469131595309238e-41  1.20516776005436408129028536856161271e-35  1.8077052907927595760653093387961833e-30   3.92309268486299802630284774306693454e-23   3.81711726207900150344730864830198923e-28   2.15083485858503301562339213690491561e-29  -5.45619411650238146971464928686797862e-33  6.19701328039344829661301601476819813e-30  1.95414333182335060792522831597184486e-32  1.26151867412292844759993875947820057e-23  1.1912579289103224386763339797865215e-33   1.63599943645590412512923114504452004e-28  9.68167998750269825264187189352700261e-14  1.77835066111202142451130170950640914e-28   1.56543190713252383269616952319013974e-17  6.87565737321421055419788137205595566e-07
1.06482925824820995330810546875000005e-10  -2.0832241496195080511201799238418353e-29   -4.16467404430835822248725577640383518e-44  -2.41343729178270726670706126660644405e-46  -1.71524577955591691332420307356750596e-33  -2.37356882916064010393006192586634992e-23   6.35434275722048774552129840931140458e-03  1.19902757792396013043114058278017397e-29  4.16467404430835927263965518703684964e-44  -2.65033190118068177158794571705351835e-88  -1.16422337518955770596937215635904853e-75  8.98746023242619362616280473661353532e-35  4.86585079738821754767668163083430622e-34  4.87471890646567126407294267961218779e-60  1.85916092057450585627604624132628168e-43   2.23599844639081454507523508895192332e-55  3.4953962588601735881998116473326166e-54   3.94980345826098411698201665713805422e-48  6.98599672679592708270442384024527583e-43  6.55679630726663086231400854436431312e-51  9.50159594704810869647268959940056367e-50  8.16458856113841687016039284582117998e-42  3.95891054571194999005051835551051208e-41  9.06163126595262737878467464296226483e-40  3.32066817936110940459732590537190038e-50  2.75936248725859460416879342264893975e-35  2.75512988825489050393863964566040803e-28  7.44209128732431920409387867633315767e-46   7.93751376568761859754978940690074894e-43  3.03591683859196052208342053803427963e-31  9.91531603885558560350899945004701632e-37  1.78155992484558882388408366548063305e-41  9.37168509112865135750328091342708488e-34  1.2699634972059740533204440637286108e-41   1.28203293149668963988521246551859178e-35  1.86446170251044947740472624182689582e-30  4.04626578435151871458637687244117097e-23   3.93696305774309901397561910024152385e-28   2.21836448821679486239056457877347695e-29  -6.19779373049422441942960957468012292e-33  6.39158052486009423590830896724096991e-30  2.01549744971247677226028310138056299e-32  1.301126498273090431541582752641928e-23    1.22865978076841749922215005253777381e-33  1.68736481004734992663231971270931933e-28  9.68168671750992443500557335414910371e-14  1.77835189729342954985938833288455484e-28   1.56543299530813598860126759090622526e-17  6.87566215267643882615769216983626941e-07
1.097243887372314929962158203125001e-10    -2.2119861981866159860084589419471614e-29   -4.42208847648189529342485132157016827e-44  -2.56261128701107131006805980614340648e-46  -1.76753953090694218731789507898247177e-33  -2.58006076587004666640425264473633221e-23  -8.00286131289948373344269005419188372e-02  1.23552739060266341346548712181836828e-29  4.42208847648189637554520870242673608e-44  -2.81414829687746358194348795658210643e-88  -1.19971776813595898834400030104494252e-75  9.26251882979078387847542635276693418e-35  5.01476874091203243831918717918098161e-34  6.81615693624643616364319638486509934e-60  2.57417553398055101925733865778345443e-43   3.09594098661406958040227699330071359e-55  3.89765605693561472664169711904454441e-54  4.40435768441783646144867527492615641e-48  7.78996441016038944596872555594495599e-43  7.24467101450656883957121798347517204e-51  1.05950614345223806327817514700176866e-49  9.10418816743462855131700485961992033e-42  4.41451417897280404158442011427975781e-41  1.01044717344016865578869446260271931e-39  3.70282091302398967488188550418116399e-50  2.92991538183458672960563091474033378e-35  2.92542117094951713657914559536116147e-28  7.90207804753172650329304769957843329e-46   8.4281219966561285478242750698765413e-43   3.20750350095482908577316935412560634e-31  1.05281720414541862575815719864404517e-36  1.89167640420460178235991459876858714e-41  9.95093978681050821707020871391688055e-34  1.34845869971736354533885024603282128e-41  1.36127413394503162836741083247558826e-35  1.92121811422749073645933982544054764e-30  4.16943888383863171555739680060685389e-23   4.05680885340582686337893981308220632e-28   2.28589411784778494560308672293623903e-29  -6.98666239571801716669424391123593616e-33  6.58614776932705333763718807884293343e-30  2.07685156760170168739160165449395024e-32  1.3407343224233036636341310723239861e-23   1.26606163262656095279117828564567879e-33  1.73873018363886218867805335039309234e-28  9.68169301431726321711451220995449703e-14  1.77835305390380174484006521920674059e-28   1.56543401343961047646341042945281392e-17  6.87566662449226650195264849198814068e-07
1.12965851649641990661621093750000196e-10  -2.34460915005128747803654813295172836e-29  -4.68722142696966671745930632752608091e-44  -2.71625837191580611371210996877371348e-46  -1.81983799054626465177543581973873421e-33  -2.7927792552780028545668137669173411e-23   -1.60468702297408801650017037105996521e-01  1.27202720328144101518927450594871128e-29  4.68722142696966783154761610507928282e-44  -2.98287684517355037519219505888018259e-88  -1.23521535683387183569032260540404444e-75  9.53766426442453509225772563019869464e-35  5.16373369851818678587557172938340049e-34  8.9694615329935925920773245263793072e-60   3.36670479765968439278246224223673695e-43   4.0491097966373554431959277601859431e-55   4.3263337012346332914608524052606148e-54   4.88876411977963868274665201144771782e-48  8.64673153987634851977623803431527909e-43  7.97374418690159828826305296694337567e-51  1.17603384688910108597439675122411173e-49  1.01054944320226489946475199644661212e-41  4.90003902157416981249501536013318616e-41  1.12157994704826884993595919029232719e-39  4.11007105836055846247270608777135564e-50  3.1055822230008414821189670248344568e-35   3.1008185559278526597274595758765062e-28   8.37585728971240516909657467339851525e-46   8.93344087968453829151093947726323789e-43  3.38306593568425545679555016850150974e-31  1.11594044047931420171958365841627066e-36  2.00509470346841942224944446285650435e-41  1.05475633142969801392713737867695406e-33  1.42930756458151939883990986286559294e-41  1.44289136739939004673688046943254466e-35  1.97797452594388335322915008963705124e-30  4.29261198332433702921590752756368964e-23   4.17665464906718505165727078682380016e-28   2.35342374747800326526095856939300446e-29  -7.82280011217375971150855229653424089e-33  6.78071501379432560179965334957424428e-30  2.13820568549102535331918397531199901e-32  1.38034214657356814387758371852430961e-23  1.30346348448475279938341867911014151e-33  1.79009555723044091126643205809569907e-28  9.68169887792471459896868846094351976e-14  1.77835413094313800945333236847291663e-28   1.56543496152694729628259803882996988e-17  6.87567078866169358158275033851212965e-07
1.16207314562052488327026367187499933e-10  -2.48109300521352252720444749685548949e-29  -4.96007289577167249459062079427176653e-44  -2.87437854649691167763921175449731647e-46  -1.87214115847388430669682529583640245e-33  -3.01172429738450866841774529240960498e-23  -2.34965924748021405201249102801089193e-01  1.3085270159602929356025027351712516e-29   4.96007289577167364064687739499448985e-44  -3.15651754606894215133406702394771585e-88  -1.27071614128329624800833906943622485e-75  9.81289653632744726750970256890908377e-35  5.31274567020668059034583528144162222e-34  1.13346326967071405493753271041544739e-59  4.23674871161190597685141699468634203e-43   5.09550487646067213345618738960538994e-55  4.7814291917572292826572775059807634e-54   5.40302276434639078087594686670279751e-48  9.55629811594380430412696127535529445e-43  8.74401582445171920838951349476865223e-51  1.29974270501539993773593377260710666e-49  1.11685073549024782001519381603599771e-41  5.41548507351604730278230409307069809e-41  1.23956144741956332032026164736508297e-39  4.54241861537081576736978765614226447e-50  3.28636301075735886170880175293121608e-35  3.28132204318989707338358158720646711e-28  8.86342901386635520150445959779323082e-46   9.45347041477284782860978262906013122e-43  3.56260414278023963515056298116213569e-31  1.18090131288724528823517932432140304e-36  2.12181482263704174355267325774435816e-41  1.11615556735880671241067761319846852e-33  1.51251009179844161382362291422693109e-41  1.5268846318597648949936213763894851e-35   2.03473093765962732771415703441635802e-30  4.41578508280863465556190905331184137e-23   4.29650044472717357881061202146640495e-28   2.42095337710744982136418011814387534e-29  -8.70620687986145205387253473057423948e-33  6.9752822582619110283957047794347566e-30   2.19955980338044777004303006383454978e-32  1.41994997072388387227194069124295563e-23  1.34086533634299303899887123293121892e-33  1.84146093082208609439745583581714261e-28  9.68170430833227858056810210711582156e-14  1.77835512841143834369918978068315762e-28   1.56543583957014644805883041903762044e-17  6.87567464518472006504799770940803063e-07
1.19448777474462985992431640624999669e-10  -2.62143776367332113351215703365878708e-29  -5.24064288288791262481879472180703169e-44  -3.03697181075438800184936516331450693e-46  -1.92444903468980115208206350727552874e-33  -3.23689589218956410795704722121286283e-23  -3.03520280480832647988123105301235739e-01  1.34502682863921917470517180948600478e-29  5.24064288288791380284299257217242798e-44  -3.33507039956363891036910385178499279e-88  -1.30622012148423222529804969314159958e-75  1.00882156454995204042313571688981312e-34  5.46180465597751385172997783535580108e-34  1.39116704273870800355372041181917653e-59  5.18430727583721577146420291513274778e-43   6.2351262260840196511830558815617586e-55   5.26294252850340270023097242120489371e-54  5.94713361811809275583655984069152197e-48  1.05186641383627567990208952790666823e-42  9.5554859271569315999505995669518212e-51   1.43063271783113461856278621115078508e-49  1.22932269360741161678302594473024432e-41  5.96085233479843651244628631309293032e-41  1.36439167455405206694160183382116549e-39  4.99986358405476158957313020929447031e-50  3.47225774510413886837513509903087498e-35  3.46693163273565037754751162935117488e-28  9.36479321999357660051670247276315755e-46   9.98821060192105715912080452526753083e-43  3.74611812224278162083820779210747203e-31  1.24769982136921188530494419635943707e-36  2.24183676171046874626960098343220339e-41  1.1792916864683769171576415749563074e-33   1.59806628136813019028998940011694715e-41  1.61325392732615617313763355334638825e-35  2.09148734937472265991436065977859437e-30  4.53895818229152459459540137785114594e-23   4.41634624038579244483896351701009536e-28   2.48848300673612461391275136918888279e-29  -9.63688269878109419378619121335769812e-33  7.16984950272980961742534236842428565e-30  2.26091392126996893756313992006181524e-32  1.45955779487425084881720199047993232e-23  1.37826718820128167163753594710892053e-33  1.89282630441379773807112468355755055e-28  9.68170930553995516191275314847163015e-14  1.778356046308702747577637455837294e-28     1.56543664756920793179210757007578269e-17  6.87567819406134595234839060467552034e-07
