time                                       sum(surf)                                  <gas> H2(g)  <gas> H2O(g)  <gas> CO(g)  <gas> CO2(g)  <gas> CH4(g)  <gas> CH3COOH(g)  <Pd111> *                                  <Pd111> H*                                 <Pd111> O*                                 <Pd111> OH*                                <Pd111> H2O*                               <Pd111> C*                                  <Pd111> CO*                                <Pd111> CO2*                               <Pd111> COOH*                              <Pd111> CCO*                               <Pd111> CCOO*                              <Pd111> CCOOH*                             <Pd111> CH*                                <Pd111> CHCO*                              <Pd111> CHCOO*                             <Pd111> CHCOOH*                            <Pd111> CH2*                               <Pd111> CH2CO*                             <Pd111> CH2COO*                            <Pd111> CH2COOH*                           <Pd111> CH3*                                <Pd111> CH3CO*                             <Pd111> CH3COO*                            <Pd111> CH3COOH*                           <Pd111> co-H2O*
_________________________________________  _________________________________________  ___________  ____________  ___________  ____________  ____________  ________________  _________________________________________  _________________________________________  _________________________________________  _________________________________________  _________________________________________  __________________________________________  _________________________________________  _________________________________________  _________________________________________  _________________________________________  _________________________________________  _________________________________________  _________________________________________  _________________________________________  _________________________________________  _________________________________________  _________________________________________  _________________________________________  _________________________________________  _________________________________________  __________________________________________  _________________________________________  _________________________________________  _________________________________________  _______________
0.0000000000                               1.0000000000                               1.0e-13      1.0e-13       1.0e-13      1.0e-13       1.0e-13       0.0010000000      1.0000000000                               0.0000000000                               0.0000000000                               0.0000000000                               0.0000000000                                0.0000000000                               0.0000000000                               0.0000000000                               0.0000000000                               0.0000000000                               0.0000000000                               0.0000000000                               0.0000000000                               0.0000000000                               0.0000000000                               0.0000000000                               0.0000000000                               0.0000000000                               0.0000000000                               0.0000000000                                0.0000000000                               0.0000000000                               0.0000000000                               0.0000000000                               0.0000000000   
5.820766091346741e-11                      1.0000000000                               1.0e-13      1.0e-13       1.0e-13      1.0e-13       1.0e-13       0.0010000000      9.9999999997510084511009908474693055e-01   4.00215642157419087149871085499855079e-17  2.87522458538228579937073519935488668e-39  9.11200505993997107177927870732250359e-28  1.67071217901021702243301486412232203e-70   4.02954058770050614946443870284516776e-55  3.22075331833952337308705442270645236e-43  2.6453198277015297699651286810516583e-63   2.07620148553636077642824708732865288e-38  1.06258970570407126620459826505696034e-59  2.10869408667756137241028944147451375e-52  1.59735320058701835158606560666514633e-39  1.87520389259437690353143568942796738e-42  1.14972198332159366096280619336217073e-47  1.08668929043962676100487145295882073e-44  1.28745669999629770083669768677614726e-33  2.77864188756201176695939354881490242e-41  1.27301848412308022826487013436375546e-38  6.20998889911592835080566385080767058e-34  1.12709491383467249932853842673582724e-23  -5.76981596172008266537454879944203089e-36  1.82240101198101383452322862352280094e-27  8.00431171605346756918699944581130851e-17  2.48990348252082652937475448112609937e-11  0.0000000000   
9.99999999999999999999999999999998139e-11  9.99999999999999999999999999999982185e-01  1.0e-13      1.0e-13       1.0e-13      1.0e-13       1.0e-13       0.0010000000      9.99999999890325592414610334209643341e-01  6.87563506201808546813048251433786343e-17  8.48617671300868360833581064332075251e-39  1.56542660696571311288972305454869417e-27  4.93107465989764093557801037075450997e-70  -1.89930547109561957625521908660448919e-54  9.50605631326074873071601276861353059e-43  4.54725464241395722645610158182917292e-63  3.57419351161169011401390343601002238e-38  7.5170087983160771466676679788148091e-59   1.50123297696147978737861547961550071e-51  8.09955337064217061163126580857849386e-39  9.28462237796522317651798223275249713e-42  5.82978624284915809363586353500036954e-47  5.51017945465152134333269607453938144e-44  3.79989982467528637886079917030730326e-33  7.8189808813498071341081947692342969e-41   3.75729247467825624267462158386923657e-38  1.83286768179974419819241640109431371e-33  1.93632944114168156048280868978593883e-23  -3.90655512580878408703115457643507728e-34  3.1308532139108237531891204017434427e-27   1.37512681877067288683416527850237501e-16  1.09674201316337800551505082723677138e-10  0.0000000000   
1.03241462912410497665405273437499909e-10  1.0000000000                               1.0e-13      1.0e-13       1.0e-13      1.0e-13       1.0e-13       0.0010000000      9.99999999889370530278596024354263305e-01  7.09850689552068763706243663704416201e-17  9.04524629539712563645123009935786806e-39  1.61616948307320775129308988417205971e-27  5.25593421941986758916858974335044888e-70  -1.59616100610248865352759410453684423e-54  1.01323203397064516111287702763134397e-42  4.69486419216908296925332028991676824e-63  3.69063580793646159825323045596184399e-38  8.62078504945425234718961070759008141e-59  1.72050591290115490849641923556412472e-51  8.91299189545923600899107811962046607e-39  1.01878263320895755766426420503469705e-41  6.41527124579790927437087054614941056e-47  6.06356753648640480371885911120279096e-44  4.05023677625869554569519931709770483e-33  8.30377611265555495950381508395673352e-41  4.00482301488401111897880833492935655e-38  1.95361705813257449825887229318708415e-33  1.9990950313500446668697760531499224e-23   -4.57940093541922117996455824081461756e-34  3.2323389661244557384999132573577448e-27   1.4197011791946342945131354841563159e-16   1.10629256766197105176609870574052587e-10  0.0000000000   
1.06482925824820995330810546875000005e-10  9.99999999999999999999999999999996919e-01  1.0e-13      1.0e-13       1.0e-13      1.0e-13       1.0e-13       0.0010000000      9.99999999889033273184296688974525893e-01  7.32137888893392985350168358103258618e-17  9.62214890347755781123659311567990609e-39  1.66691239558877631649090757515318111e-27  5.59115607666664911027539924105704515e-70  -1.09893633356435718857238386400949827e-54  1.07785611929820509176389090064174836e-42  4.84248713583614480699046601482214061e-63  3.80711497136589126784402715544571586e-38  9.86058393228649912166818349470410587e-59  1.96648734136967643235531007674346756e-51  9.77914702181550301693832587940346591e-39  1.11447216487104037702898640342878608e-41  7.03869971095291587980605852507661737e-47  6.65281919427642921563023114108725039e-44  4.3085588430849104692820917223907675e-33   8.80136739036077379046281653087284509e-41  4.26024920608092667242161397962769089e-38  2.07821805982242149831474414428061669e-33  2.06186066659194825946293163666688588e-23  -5.31615286949000762263555413971342978e-34  3.33382479115419228294533540862404542e-27  1.4642755716007192082562664183484863e-16   1.10966507174336638006841273535583143e-10  0.0000000000   
1.097243887372314929962158203125001e-10    9.99999999999999999999999999999991237e-01  1.0e-13      1.0e-13       1.0e-13      1.0e-13       1.0e-13       0.0010000000      9.99999999889275293967594124164901508e-01  7.54425103228556673653615973456533076e-17  1.02168845373270222484904646026774896e-38  1.71765534224196406365581487604733093e-27  5.93674022983134739958843628838460175e-70  -3.8250536694472768247019754618741169e-55   1.14447789012386278565973916897244845e-42  4.99012346731928819810221249463202701e-63  3.92363099677098995362561072899598652e-38  1.12463147071997210736621056497277598e-58  2.24110100949110218433085926615323215e-51  1.06996738738289333097034187698971489e-38  1.21565972254842281196329775160593953e-41  7.70126292414720165092583585253236996e-47  7.27906043187112363121397278889853443e-44  4.57486602184359132284040459461290029e-33  9.31161051919088054786041549344318778e-41  4.52357104828312659743706387583720273e-38  2.20667068686927306067243885776329418e-33  2.12462634405898960092562565683060022e-23  -6.11882924198432094416190835961878322e-34  3.43531068445912389687065965686603534e-27  1.50884999399447883272545569220760494e-16  1.10724479704874902115135455594769544e-10  0.0000000000   
1.12965851649641990661621093750000196e-10  9.99999999999999999999999999999988541e-01  1.0e-13      1.0e-13       1.0e-13      1.0e-13       1.0e-13       0.0010000000      9.99999999890058065464370126019781976e-01  7.76712331560335290525380148590293563e-17  1.0829453197022561064011409470739865e-38   1.76839832076231624796045053540960749e-27  6.29268667710732435779769830984431461e-70   5.78257980292897363698355667774235501e-55  1.21309734926272636343551810570324023e-42  5.137773180522658601023233467432685e-63    4.04018387902276848643729837114667848e-38  1.27878866345808218067300964822319205e-58  2.54627066438948998979863806679381322e-51  1.16762275756174885615167664730690697e-38  1.32247419600675689868453118271439614e-41  8.40415217121379032871461090926575289e-47  7.94341725312001710261724467934180984e-44  4.84915830922439827958906614219041725e-33  9.83436130387129215257182835512831779e-41  4.7947885415047345884591833814305075e-38   2.33897493927311704764436333702306264e-33  2.18739206094276595392120833013455699e-23  -6.98944836686533867366138698701894417e-34  3.53679664149834109062115880340716637e-27  1.55342444438146437258260091686216476e-16  1.09941701521930400574428580738112526e-10  0.0000000000   
1.16207314562052488327026367187499933e-10  1.0000000000                               1.0e-13      1.0e-13       1.0e-13      1.0e-13       1.0e-13       0.0010000000      9.99999999891343060510506490633639239e-01  7.98999572891504297874254522330685797e-17  1.14598548826412163735979926302556812e-38  1.81914132887937812457745330179519873e-27  6.65899541668794188559318272994709392e-70   1.80847979468501544885266659670893867e-54  1.28371449952990394572632398391391084e-42  5.28543626935040147418820267131079164e-63  4.15677361299223769711840727643207509e-38  1.44952089748167049244308753017855016e-58  2.88392005318889767413421774166432066e-51  1.27104632512991304466087786708878514e-38  1.43504447501169467341001962990246543e-41  9.14855873798570565415679207602531099e-47  8.64701566187263868198720743712174591e-44  5.13143570191699151274700457354929059e-33  1.03694755491274255254722714993889045e-40  5.07390168575987433992199785428001774e-38  2.47513081703394132154292448544803904e-33  2.25015781443487458111302987307247616e-23  -7.93002855809623834025175610839942522e-34  3.63828265773093437454210564957076087e-27  1.5979989207672270324895997034408058e-16   1.08656699789621636457656812952110675e-10  0.0000000000   
1.19448777474462985992431640624999669e-10  9.99999999999999999999999999999999133e-01  1.0e-13      1.0e-13       1.0e-13      1.0e-13       1.0e-13       0.0010000000      9.99999999893091751941885014100848176e-01  8.21286826224839157609032733503873454e-17  1.21080895942600302930487789916156155e-38  1.86988436432269494867946192375928262e-27  7.03566644676656188366488697320399275e-70   3.33328616276812407191212605945997353e-54  1.35632934374050365316725307668434914e-42  5.43311272770666227603179384435279175e-63  4.27340019355040841650825463938638721e-38  1.63781909882942740303231614179595768e-58  3.25597292301338306271316955376574221e-51  1.38040360249918206392098650453232763e-38  1.55349944932888817235709602631854887e-41  9.93567391029597136823678773356142424e-47  9.39098166197851742147102168694607949e-44  5.42169819661103119553314809711602428e-33  1.09168090596846975874369613096856172e-40  5.36091048106266954625953265225872559e-38  2.61513832015173374468052920642651125e-33  2.31292360172691274516444050213796556e-23  -8.94258812964019747305078181025070041e-34  3.73976872861599425897877299668059923e-27  1.64257342115731801710834966307212707e-16  1.06908001672067112837756316223262576e-10  0.0000000000   
