time                                       <gas> H2(g)                                <gas> H2O(g)                               <gas> CO(g)                                 <gas> CO2(g)                               <gas> CH4(g)                                <gas> CH3COOH(g)                            <Pd111> *                                   <Pd111> H*                                  <Pd111> O*                                  <Pd111> OH*                                 <Pd111> H2O*                                <Pd111> C*                                 <Pd111> CO*                                 <Pd111> CO2*                                <Pd111> COOH*                               <Pd111> CCO*                                <Pd111> CCOO*                               <Pd111> CCOOH*                              <Pd111> CH*                                 <Pd111> CHCO*                               <Pd111> CHCOO*                              <Pd111> CHCOOH*                             <Pd111> CH2*                                <Pd111> CH2CO*                              <Pd111> CH2COO*                             <Pd111> CH2COOH*                            <Pd111> CH3*                                <Pd111> CH3CO*                              <Pd111> CH3COO*                             <Pd111> CH3COOH*                            <Pd111> co-H2O*
_________________________________________  _________________________________________  _________________________________________  __________________________________________  _________________________________________  __________________________________________  __________________________________________  __________________________________________  __________________________________________  __________________________________________  __________________________________________  __________________________________________  _________________________________________  __________________________________________  __________________________________________  __________________________________________  __________________________________________  __________________________________________  __________________________________________  __________________________________________  __________________________________________  __________________________________________  __________________________________________  __________________________________________  __________________________________________  __________________________________________  __________________________________________  __________________________________________  __________________________________________  __________________________________________  __________________________________________  _______________
0.0000000000                               0.0000000000                               0.0000000000                                0.0000000000                               0.0000000000                                0.0000000000                               -1.32818539871354932704061422240755496e+05  -2.65637079742709865408122844481510993e+05   0.0000000000                                0.0000000000                                0.0000000000                                0.0000000000                               0.0000000000                                0.0000000000                                0.0000000000                                0.0000000000                                0.0000000000                                0.0000000000                                0.0000000000                                0.0000000000                                0.0000000000                                0.0000000000                                0.0000000000                                0.0000000000                                0.0000000000                                0.0000000000                                0.0000000000                                0.0000000000                                0.0000000000                                0.0000000000                                2.65637079742709865408122844481510993e+05  0.0000000000   
5.820766091346741e-11                      6.224990766248424e-30                      0.0000000000                                0.0000000000                               9.62964972193618e-34                        3.51742608379167972238354347616299576e-25  -1.9961861426                               -3.9923729728                                6.87556011253173597907248330756363623e-07   9.87921248727062587638595828323587505e-29   1.56540954266564176770011809054920147e-17   5.74051385915001069111651170576699467e-60  3.84115284696953517623552739774011982e-44   1.10664886284278455334852559801158571e-32   4.54824198638982412389658258454095976e-53   3.57702810105227977070174569690324587e-28   7.3020688322114822360616307615188266e-49    1.44693709563300872681083928381715288e-41   8.23270385825579056090581800130318375e-29   9.51075383629274349939924086740737518e-32   5.92562416994198433513790538218798656e-37   5.60076212152961266106524074655743585e-34   4.42366917236118653609959815151458341e-23   9.24043076914370219058779156968711858e-31   4.37406527251235059954999519765836146e-28   2.13373937452354198894637130834299621e-23   1.93630833366220916315479460806345676e-13  -3.51564764114839712419894871058992848e-25   3.13081908530729909429267200206162633e-17   1.37511182887551371337271750328530102e-06   3.9923709101                               0.0000000000   
9.99999999999999999999999999999998139e-11  1.83728352294381196286725648421216369e-29  1.24445938009875904559101092513796557e-44   7.21162819957258029146411648828813871e-47  1.61179235485361068801321284273779468e-33   1.97926461383692671097193444431551051e-23  -1.96948854683055220198491862447972538e-01  -3.93898396931435883337820098491469937e-01   6.8756532542728644198907112885797132e-07    1.69723697118906439801762307595009773e-28   1.56543074894862070389728833899950354e-17   9.86216466749604952271526778236521381e-60  6.61675697655804362753473847376429672e-44   1.90122681970208976349079927261438006e-32   4.55358752377154488309254032707614992e-53   3.59170733118773565760860398486290585e-28   3.20555270926754554739268642753980177e-48   6.37242949551433442089929366620105575e-41   2.42986562971675837369005017317373944e-28   2.70491419806580178165677644488804054e-31   1.74893368346984415323074659108948283e-36   1.65305494140407783030438565971747309e-33   7.59979057342867776891952055235917898e-23   1.47571993245100152750419257427894194e-30   7.5145920621915544193499659961136624e-28    3.66573879958278948785149329583643026e-23   1.93633456409912517070711143641933445e-13  -1.97924682785966108325930413675004491e-23   3.13086149785603642396790965654222903e-17   1.37513045722111631277610929115285964e-06   3.93896334235459554515545704394184251e-01  0.0000000000   
1.03241462912410497665405273437499909e-10  1.95832355646744969126951438498994641e-29  1.24445938009875904559101092513796557e-44   7.21162819957258029146411648828813871e-47  1.66413084826954471350291973520698274e-33   2.17330344514885664756097441868875479e-23  -9.86801653612371735898275009843653133e-02  -1.97361018288308501055015477132835127e-01   6.8756583413822096056010924336396257e-07    1.75225233349721324717455912571149733e-28   1.56543190716953248626420267554459797e-17   1.01818443586688245238253956617502486e-59  1.22166101657394513017798609305603568e-43   1.96285582269907351160146781186793323e-32   4.55400082357553379069549268001975911e-53   3.59284477036717553547983586978829827e-28   3.6099010082988360491702264006747109e-48    7.16671959423001418066599577373161157e-41   2.58994470784396652694220089820451553e-28   2.86856534910972207344463446659563475e-31   1.86415270740731081820277616838055204e-36   1.76195815882242962726331704933676448e-33   7.84613357082665132592254139541207048e-23   1.51541850184537789024735163218257624e-30   7.75817501215741624065193548889094017e-28   3.78456247460545161421969189840815024e-23   1.93633599671591301300017308258006623e-13  -2.17328565902428351056537549852629912e-23   3.13086381429652434317871479252232128e-17   1.37513147464284208560887558968276429e-06   1.97358955590806039429156102545863224e-01  0.0000000000   
1.06482925824820995330810546875000005e-10  2.08322445478900577914551954928796269e-29  1.24445938009875904559101092513796557e-44   7.21162819957258029146411648828813871e-47  1.71646934168547873899262662767615182e-33   2.37356882915928801564007430074443085e-23  -6.35434275722048774552131289456042811e-03  -1.27093730807530756565890388136158164e-02   6.87566312084511087453522814504699202e-07   1.80726769604303908934472982856255105e-28   1.56543299534630660058823484925185223e-17   1.0501523994106329736933994366090512e-59   1.85916098617742294027814566500589371e-43   2.02448491254289761247295859043205863e-32   4.55441393532077557439029107844957285e-53   3.59398205131592427931197150834809269e-28   4.04481964132643512412173238939130429e-48   8.02035780754828368466067644670749185e-41   2.75512988825488351790241478019686239e-28   3.03619278398396353304228100179029257e-31   1.98304688008228948277756967005649622e-36   1.87433512830876885346034075702796085e-33   8.09247646609975360622925866574187812e-23   1.55467222495127443499747020722080442e-30   8.00175796255899782231119203208797173e-28   3.90338614962773928967109532835688334e-23   1.93633734269272337524256374814657376e-13  -2.37355104288352436879582236785748659e-23   3.13086599064873692630361073654435226e-17   1.37513243053528773920867099308607568e-06   1.27073103818167751602672661568395484e-02  0.0000000000   
1.097243887372314929962158203125001e-10    2.21198621790848022649527197710622031e-29  1.24445938009875904559101092513796557e-44   7.21162819957258029146411648828813871e-47  1.76880783510141276448233352014538618e-33   2.58006076586958445164052973146871931e-23   8.00286131289948373344270311173844687e-02   1.60056538691230392857597829199141452e-01   6.87566759266156822669311842280129787e-07   1.86228305882654192452813518450326512e-28   1.56543401347894304686938486012126631e-17   1.08212035738085651620410638953860652e-59  2.5741756064662377930539525632271023e-43    2.08611408923356206610527160830677146e-32   4.55482685900727023417693552236546244e-53   3.59511917403398188910501090054197796e-28   4.51030860835034277224720439369014489e-48   8.93334413546914293288333568512999128e-41   2.92542117094950934657069181915111608e-28   3.20779650268852616044971605047222064e-31   2.10561620149478014695512709611772338e-36   1.99018584986309550889545678279115006e-33   8.33881925924798460983967236334866715e-23   1.59348110176869116175454829939368162e-30   8.24534091339629916432773562570428414e-28   4.02220982464965251420570358568284164e-23   1.93633860202955625743428343311893323e-13  -2.5800429794373836579506447447438352e-23    3.13086802691267417334259748860830702e-17   1.37513332489845327357549550136269095e-06  -1.60058601391508238291120804773062037e-01  0.0000000000   
1.12965851649641990661621093750000196e-10  2.34461029526311320754012743319896467e-29  1.24445938009875904559101092513796557e-44   7.21162819957258029146411648828813871e-47  1.82114632851734678997204041261462291e-33   2.79277925527710448350862800925902169e-23   1.6046870229740880165001707724978754e-01    3.20936717027641904487402740613023541e-01   6.87567175683158166207476326690282244e-07   1.91729842184772175272477519353356486e-28   1.56543496156744182510765270815286588e-17   1.11408830977755307991466042496372152e-59  3.36670487744038968850540678771872043e-43   2.14774335277106687249840686549210971e-32   4.55523959463501777005542601176740215e-53   3.59625613852134836485895404636994785e-28   5.00636790937055899354664241357055167e-48   9.90567857799259192533397348899853679e-41   3.10081855592784401294703201506710233e-28   3.38337650522340995566693961264116371e-31   2.23186067164478281073544844656389041e-36   2.10951032348540959356866512662624426e-33   8.58516195027134433675378248823233971e-23   1.63184513229762807051858590870118218e-30   8.48892386466932026670156626973946666e-28   4.14103349967119128782351667038577228e-23   1.93633977472641165957533213749713588e-13  -2.79276146868586137802984262918505692e-23   3.13086992308833608429567504871409359e-17   1.37513415773233868870934911451266007e-06  -3.20938779729169000925008110243713457e-01  0.0000000000   
1.16207314562052488327026367187499933e-10  2.48109387377923325241774404331480898e-29  1.24445938009875904559101092513796557e-44   7.21162819957258029146411648828813871e-47  1.87348482193328081546174730508377299e-33   3.01172429738312594686678619473166815e-23   2.34965924748021405201249176909053834e-01   4.69931161928481459232932535595485794e-01   6.87567561335515118068016267735152164e-07   1.97231378510657857393464985565350006e-28   1.56543583961180293530303839334659961e-17   1.14605625660072266482506154288431642e-59  4.23674879909987862663250833848002959e-43   2.20937270315541203165236436198793663e-32   4.55565214220401818202576254665557214e-53   3.59739294477802370657380094583235708e-28   5.53299754438708378802004644903259421e-48   1.09373611351186306620125898583106239e-40   3.28132204318988751703143536794464691e-28   3.56293279158861491869395168829720685e-31   2.36178029053229747411853372139504369e-36   2.23230854917571110747996578853327194e-33   8.83150453916983278697158904039266739e-23   1.66976431653808516128958303514329879e-30   8.73250681637806112943268396419381802e-28   4.25985717469235561052453458246573644e-23   1.9363408607832895816657098612811712e-13   -3.01170651062895752903341602118118437e-23   3.13087167917572265916284341686190016e-17   1.37513492903694398461023183253599185e-06  -4.69933224631165512741394650254818696e-01  0.0000000000   
1.19448777474462985992431640624999669e-10  2.6214383170932716567691079169508285e-29   1.24445938009875904559101092513796557e-44   7.21162819957258029146411648828813871e-47  1.92582331534921484095145419755298005e-33   3.23689589218926988057293566998187677e-23   3.03520280480832647988123143336805234e-01   6.0703987339374905709410658710189538e-01    6.87567916223227678250931665414714569e-07   2.02732914860311238815775917086308316e-28   1.56543664761202637745554191570251883e-17   1.1780241978503652709353097433003544e-59   5.18430737144470460743525721551245578e-43   2.27100214038659754356714409779435859e-32   4.55606450171427147008794512702958635e-53   3.59852959280400791424955159892880115e-28   6.09019751339991715566741650007654239e-48   1.20283918068472591429191847930702004e-40   3.46693163273563985882390187778397385e-28   3.74646536178414104953075227744027715e-31   2.49537505815732413710438292061124812e-36   2.3585805269340000506293587685122426e-33    9.07784702594344996049309201983027011e-23   1.70723865449006243406753967872000958e-30   8.97608976852252175252108870906772714e-28   4.37868084971314548230875732192281159e-23   1.93634186020019002370541660447112501e-13  -3.23687810526667211096136492073230321e-23   3.13087329517483389794410259305157276e-17   1.37513563881226916127814365543263632e-06  -6.07041936097497773740280424807052986e-01  0.0000000000   
